AccountID,AccountCode,AccountName,AccountType,IsActive,Groupid,Subgroupid,Subgroupid2,Subgroupid3,Linegroupid,Tenantid,MainGroup
10,1010,Cash on Hand,Asset,1,117,,,3,,101,l1
11,1020,Checking Account,Asset,0,1,3,8,,3,101,Sales
12,1030,Savings Account,Asset,1,91,,,,,101,Current Assets
13,1040,Accounts Receivable,Asset,1,91,,,,,101,Current Assets
14,1050,Allowance for Doubtful Accounts (Contra Account),Asset,1,91,,,,,101,Current Assets
15,1060,Inventory – Raw Materials,Expense,1,1,1,,,,101,SALES
16,1070,Inventory – Work in Progress,Expense,1,1,1,,,,101,SALES
17,1080,Inventory – Finished Goods,Asset,1,91,,,,,101,Current Assets
18,1090,Prepaid Expenses,Asset,1,91,,,,,101,Current Assets
19,1510,Land,Asset,1,93,,,0,,101,Fixed Assets
20,1520,Buildings,Asset,1,93,,,,,101,Fixed Assets
21,1530,Machinery & Equipment,Asset,1,93,,,,,101,Fixed Assets
22,1540,Vehicles,Asset,1,1,1,3,,,101,SALES
23,1550,Office Equipment,Asset,1,93,,,,,101,Fixed Assets
24,1560,Accumulated Depreciation (Contra Account),Asset,1,93,,,,,101,Fixed Assets
25,1810,Investments,Asset,1,98,,,,,101,Other Assets
26,1820,"Intangible Assets (Patents, Trademarks)",Asset,1,98,,,,,101,Other Assets
27,1830,Goodwill,Asset,1,98,,,,,101,Other Assets
28,2010,Accounts Payable,Liability,1,92,,,,,101,Current Liabilities
29,2020,Accrued Expenses,Liability,1,92,,,,,101,Current Liabilities
30,2030,Notes Payable (Short Loan),Liability,1,92,,,,,101,Current Liabilities
31,2040,Payroll Liabilities,Liability,1,92,,,,,101,Current Liabilities
32,2050,Sales Tax Payable,Liability,1,92,,,,,101,Current Liabilities
33,2060,Income Tax Payable,Liability,1,92,,,,,101,Current Liabilities
34,2510,Long,Liability,1,95,,,,,101,Long Liabilities
35,2520,Bonds Payable,Liability,1,95,,,,,101,Long Liabilities
36,2530,Deferred Tax Liabilities,Liability,1,95,,,,,101,Long Liabilities
37,3010,Common Stock,Equity,1,96,,,,,101,None
38,3020,Preferred Stock,Equity,1,96,,,,,101,None
39,3030,Additional Paid,Equity,1,96,,,,,101,None
40,3040,Retained Earnings,Equity,1,96,,,,,101,None
41,3050,Treasury Stock,Equity,1,96,,,,,101,None
42,4010,Sales Revenue – Domestic,Revenue,1,1,1,,,,101,Sales
43,4020,Sales Revenue – Export,Revenue,1,96,,,,,101,None
44,4030,Returns & Allowances (Contra Revenue),Revenue,1,96,,,,,101,None
45,4040,"Other Income (Scrap Sales, Rental Income)",Revenue,1,96,,,,,101,None
46,5010,Direct Materials,Expense,1,96,,,,,101,None
47,5020,Direct Labor,Expense,1,2,12,,,,101,Cost of Goods Sold
48,5030,Manufacturing Overhead,Expense,1,96,,,,,101,None
49,5040,Depreciation – Manufacturing Equipment,Expense,1,96,,,,,101,None
50,5050,Factory Supplies,Expense,1,2,12,,,,101,Cost of Goods Sold
51,6010,Advertising & Marketing,Expense,1,97,,,,,101,Operting Expense
52,6020,Sales Commissions,Expense,1,97,,,,,101,Operting Expense
53,6030,Freight & Shipping,Expense,1,97,,,,,101,Operting Expense
54,6510,Salaries & Wages (Office Staff),Expense,1,94,,,,0,101,General & Administrative
55,6520,Rent & Utilities,Expense,1,94,,,,,101,General & Administrative
56,6530,Depreciation – Office Equipment,Expense,1,94,,,,,101,General & Administrative
57,6540,Insurance,Expense,1,94,,,,,101,General & Administrative
