TotalRecords,,,,,,,,,,,
21,,,,,,,,,,,
TotalRecords,NullNcrNumbers,NullTitles,NullCategories,NullSeverities,NullStatuses,NullSources,NullReportedBy,NullReportedDates,NullTenantIds,NullCreatedBy,NullCreatedDates
21,0,0,0,0,0,0,0,0,0,0,0
TotalRecords,NullPhotos,EmptyPhotos,NonEmptyPhotos,,,,,,,,
21,2,0,19,,,,,,,,
NcrId,PhotosSample,,,,,,,,,,
1,[]...,,,,,,,,,,
2,[]...,,,,,,,,,,
3,[]...,,,,,,,,,,
1002,[]...,,,,,,,,,,
1003,[]...,,,,,,,,,,
ColumnName,NullCount,,,,,,,,,,
CustomerId,1,,,,,,,,,,
JobOrderId,1,,,,,,,,,,
Category,0,,,,,,,,,,
CorrectiveAction,0,,,,,,,,,,
CreatedBy,0,,,,,,,,,,
CreatedDate,0,,,,,,,,,,
DefectDescription,0,,,,,,,,,,
DefectLocation,0,,,,,,,,,,
DefectQuantity,0,,,,,,,,,,
Description,0,,,,,,,,,,
ImmediateAction,0,,,,,,,,,,
NcrId,0,,,,,,,,,,
NcrNumber,0,,,,,,,,,,
PartName,0,,,,,,,,,,
PartNo,0,,,,,,,,,,
PreventiveAction,0,,,,,,,,,,
ReportedBy,0,,,,,,,,,,
ReportedDate,0,,,,,,,,,,
RootCause,0,,,,,,,,,,
RootCauseCategory,0,,,,,,,,,,
Severity,0,,,,,,,,,,
Source,0,,,,,,,,,,
Status,0,,,,,,,,,,
TenantId,0,,,,,,,,,,
Title,0,,,,,,,,,,
TotalQuantity,0,,,,,,,,,,
